ResourceID,Copyright Description,Copyright Type,Date of Creation,Date of Publication,Description,Description,Description,Document File,External Identifier Type,External Identifier Type,External XRef,External XRef,Geometry Qualifier,Keyword,Place Description,Site ID,Spatial Coordinates Geometry,Thumbnail,Title
c0c0c0c0-0000-0000-1001-000000000000,,,,,Elevation drawings of the Crescent City cabin,Elevation drawings of the Crescent City cabin,Elevation drawings of the Crescent City cabin,,,,,,,,,,,,
c0c0c0c0-0000-0000-1001-000000000000,,,,,Elevation drawings of the Crescent City cabin,Elevation drawings of the Crescent City cabin,Elevation drawings of the Crescent City cabin,,,,,,,,,,,,
c0c0c0c0-0000-0000-1002-000000000000,,,,,Plan of the Crescent City cabin,Plan of the Crescent City cabin,Plan of the Crescent City cabin,,,,,,,,,,,,
c0c0c0c0-0000-0000-1002-000000000000,,,,,Plan of the Crescent City cabin,Plan of the Crescent City cabin,Plan of the Crescent City cabin,,,,,,,,,,,,
c0c0c0c0-0000-0000-1003-000000000000,,,,,Site plan for the Crescent City cabin,Site plan for the Crescent City cabin,Site plan for the Crescent City cabin,,,,,,,,,,,,
c0c0c0c0-0000-0000-1003-000000000000,,,,,Site plan for the Crescent City cabin,Site plan for the Crescent City cabin,Site plan for the Crescent City cabin,,,,,,,,,,,,
c0c0c0c0-0000-0000-1004-000000000000,,,,,Elevation drawings of the Crescent City stack,Elevation drawings of the Crescent City stack,Elevation drawings of the Crescent City stack,,,,,,,,,,,,
c0c0c0c0-0000-0000-1004-000000000000,,,,,Elevation drawings of the Crescent City stack,Elevation drawings of the Crescent City stack,Elevation drawings of the Crescent City stack,,,,,,,,,,,,
c0c0c0c0-0000-0000-1005-000000000000,,,,,Plan of the Crescent City stack,Plan of the Crescent City stack,Plan of the Crescent City stack,,,,,,,,,,,,
c0c0c0c0-0000-0000-1005-000000000000,,,,,Plan of the Crescent City stack,Plan of the Crescent City stack,Plan of the Crescent City stack,,,,,,,,,,,,
c0c0c0c0-0000-0000-1006-000000000000,,,,,Site plan for the Crescent City stack,Site plan for the Crescent City stack,Site plan for the Crescent City stack,,,,,,,,,,,,
c0c0c0c0-0000-0000-1006-000000000000,,,,,Site plan for the Crescent City stack,Site plan for the Crescent City stack,Site plan for the Crescent City stack,,,,,,,,,,,,
