ResourceID,Title,Site ID,Description,Cloud Storage URL,File Format Type,Measurement Unit,Thumbnail Image,Photographs,Drawings,Geometry
151f5ba2-3af2-4cf0-8083-7a87d4896b15,Locus A - Panel 1,LN4060,"No photo in report, only identified on map",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-A-PANEL-01.nxs,NXS,Centimeter,,,,
889fa192-b274-412d-a354-684d01b882ff,Locus A - Panel 2,LN4060,"No photo in report, only identified on map",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-A-PANEL-02.nxs,NXS,Centimeter,,,,
3ca81c4f-4ee7-4ec3-a07f-79c5821f173a,Locus A - Panel 3,LN4060,Complete Electric Deer,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-A-PANEL-03.nxs,NXS,Centimeter,,,,
4aff84df-acb2-4e49-97af-45e82a8b7497,Locus A - Panel 13-15,LN4060,Data is pretty complete,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-A-PANEL-13-15.nxs,NXS,Centimeter,,,,
418ab8cb-9601-4a3f-89b8-21727e3bf048,Locus A - Panel 17,LN4060,,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-A-PANEL-17.nxs,NXS,Centimeter,,,,
556ec493-fd18-44c8-ad3b-7ec8edde707d,Locus A - Panel 19-21,LN4060,"No photo in report, only identified on map",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-A-PANEL-19-21.nxs,NXS,Centimeter,,,,
2a54de8a-86b0-4ef3-abf4-42bd73dd3e91,Locus B - Panel 9-10,LN4060,"No photo in report, only identified on map",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-B-PANEL-9-10.nxs,NXS,Centimeter,,,,
2e85fc5b-5ea3-4930-ad8e-a0c5294466c1,Locus B - Panel 10-13,LN4060,Mesh includes panels from …022 and …023 combined,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-B-PANEL-10-13.nxs,NXS,Centimeter,,,,
4dd92345-abae-44e4-84e0-05f2aab01dfb,"Locus B - 17-19, 23A & 25",LN4060,"17-19 not complete, 23A and 25 very clear",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-B-PANEL-17-19-23-25.nxs,NXS,Centimeter,,,,
54518ec8-e309-471a-8a16-0cabbfdd15b5,Locus B - Panel 28,LN4060,Pretty clear and complete model of panel 28,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-B-PANEL-28.nxs,NXS,Centimeter,,,,
7d3e9ec2-682a-4455-b062-ed07ffa5488f,"Locus B - Panel 28, 27",LN4060,End of panel 28 and whole panel 27,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-B-PANEL-27-28.nxs,NXS,Centimeter,,,,
37b11b70-5eb2-4246-ac7f-bd8a71296c1a,Locus B - Panel 36-40,LN4060,"Better model of panels 36-40, not images of panels in report",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN4060-LOCUS-B-PANEL-36-40.nxs,NXS,Centimeter,,,,
df11d315-a1cc-4e3e-8268-9ed4e194160d,Locus A - Panel 20,LN3748,Good quality ,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN3748-LOCUS-A-PANEL-20.nxs,NXS,Centimeter,,,,
04c43d5e-d350-4038-b6d1-839656bbbec6,Locus A - Panel 22,LN3748,Close crop to panel,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN3748-LOCUS-A-PANEL-22.nxs,NXS,Centimeter,,,,
ffeda27d-d637-4c98-bcf9-9dc9c00a345f,Locus A - Panel 23,LN3748,Good quality,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN3748-LOCUS-A-PANEL-23.nxs,NXS,Centimeter,,,,
97559fe9-f1c0-44ee-a712-01076606feb3,Locus A - Panel 31 A & B,LN3748,"Metashape model, but good quality",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-SG-LN3748-LOCUS-A-PANEL-31A-B.nxs,NXS,Centimeter,,,,
