ResourceID,Title,Site ID,Description,Cloud Storage URL,File Format Type,Measurement Unit,Thumbnail Image,Photographs,Drawings,Coordinates
bc774db8-a6b4-477d-88bd-e9b73ff64cfd,Calendar Rock Panel 1,LN4136,"Long upward facing rake - ""calendar""",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-I-PANEL-01.nxs,NXS,Centimeter,,,,Point (37.82103 -115.04116)
806f7d64-b893-4002-ad48-610e90ba4bd6,Roly Polys' Panel 1,LN6172,"Ovals with internal divisions, sun, other abstract designs - AKA ""Roly-Polys"" or ""Martian Home""",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-II-PANEL-01.nxs,NXS,Centimeter,,,,Point (37.82887 -115.04253)
c9c75668-33e7-4a4b-bcf4-3765e8d60b56,Roly Polys' Panel 2,LN6172,No designs visible,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-II-PANEL-02.nxs,NXS,Centimeter,,,,Point (37.82110 -115.04126)
6caa86ad-bca3-41b1-bab6-ad2871c83638,Roly Polys' Panel 5,LN6172,"Wavy lines, zig-zags, enclosed forms, abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-II-PANEL-05.nxs,NXS,Centimeter,,,,Point (37.82826 -115.04278)
fc6b593b-13f1-4249-b205-54dfae31d1fb,Amphitheater Panel 1 - 2,LN210,Engraved rake-like design oriented vertically and a pecked sinuous line; area of solid pecking,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-01-02.nxs,NXS,Centimeter,,,,Point (37.83402 -115.04007)
fc65635b-7ffd-42f2-b8ce-0b273c5dd082,Amphitheater Panel 3,LN210,"Large panel densely packed with designs, including long horizontal rake, bighorn sheep, wavy lines, concentric circles and arcs, anthropomorph, tridents enclosed by circles, stars, and other abstract motifs.",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-03.nxs,NXS,Centimeter,,,,Point (37.83403 -115.04009)
6d32441e-8716-46ed-8205-88517f70b2ac,Amphitheater Panel 4A,LN210,"Rake facing down, ""X"" design above",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-04A.nxs,NXS,Centimeter,,,,Point (37.83399 -115.04028)
bcfb44c7-5eb7-44b5-9cb1-01ff6e40797f,Amphitheater Panel 6A - 6B,LN210,"Wavy lines, plant-like motifs, three connected concentric circles, row of downward-facing triangles, suspended vertical wavy lines, abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-06.nxs,NXS,Centimeter,,,,Point (37.83396 -115.04054)
545cff84-bcb6-4bf2-a568-0334f98e6191,Amphitheater Panel 7,LN210,"Circle defaced by bullet holes, three clustered ovals",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-07.nxs,NXS,Centimeter,,,,Point (37.83397 -115.04066)
226e5316-7263-422e-a983-946a18260386,Amphitheater Panel 8,LN210,"Human figures, bighorn sheep, stars, wavy lines, enclosed ovals, upward pointing tridents, abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-08.nxs,NXS,Centimeter,,,,Point (37.83400 -115.04076)
e4c2ecbf-21fd-49df-b9c2-7be84f53a51c,Amphitheater Panel 9A - 9B,LN210,"Long horizontal rake facing upwards (partially enclosed), bighorn sheep, concentric circles, anthropomorph, dotted vertical line, wavy line, abstract designs.",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-09.nxs,NXS,Centimeter,,,,Point (37.83402 -115.04104)
374dd315-bca9-4a5d-8e27-a1270bcdfc24,Amphitheater Panel 10A-D,LN210,"Horizontal ladder design, horizontal line with short lines above and below, concentric arcs, abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-10.nxs,NXS,Centimeter,,,,Point (37.83405 -115.04127)
15106550-ac4e-4dc8-bb57-7ef2053a47d0,Amphitheater Panel 12,LN210,"Wavy line, faint abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-12.nxs,NXS,Centimeter,,,,Point (37.83418 -115.04174)
970d170e-b0ba-48fe-8e74-8b8d26b6cb5d,Amphitheater Panel 13,LN210,"Four vertically stacked rectangles, wavy lines, clustered circles, dentil design, faint abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-13.nxs,NXS,Centimeter,,,,Point (37.83419 -115.04178)
3abc354a-53e9-40f7-8e9d-72008e73aa6a,Amphitheater Panel 14,LN210,Abstract designs obscured by lichen,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-14.nxs,NXS,Centimeter,,,,Point (37.83447 -115.04191)
450bbf5e-c576-442d-9c71-64380f960c72,Amphitheater Panel 15-16,LN210,Linked circles,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-III-PANEL-15-16.nxs,NXS,Centimeter,,,,Point (37.83449 -115.04199)
ed84ff50-09df-40b7-a0bb-964f689e5b33,Tiny Sheep Panel 3,LN1523,Abstract designs  ,https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-03.nxs,NXS,Centimeter,,,,Point (37.81890 -115.04958
127c8336-d946-487c-97cb-618027950078,"Tiny Sheep Panel 4, 5, 6, 7",LN1523,"Bighorn sheep, parallel wavy lines terminating in solid circles with short lines projecting downward",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-04-05-06-07.nxs,NXS,Centimeter,,,,Point (37.81888 -115.04951)
a5e90a81-f7a6-4c98-ac82-988c74b450ec,"Tiny Sheep Panel 6B, 7, 8 ",LN1523,"Bighorn sheep, parallel wavy lines terminating in solid circles with short lines projecting downward, rectangles, anthropomorphs(?), abstract designs.",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-06-07-08.nxs,NXS,Centimeter,,,,Point (37.81890 -115.04947)
a41f6bdb-d81c-485f-b8a9-2ef62eab29bb,"Tiny Sheep Panel 7, 8, 9",LN1523,"Bighorn sheep, parallel wavy lines terminating in solid circles with short lines projecting downward, rectangles, anthropomorphs(?), abstract designs.",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-07-08-09.nxs,NXS,Centimeter,,,,Point (37.81886 -115.04943)
9d244ff7-e3de-43e9-9d80-76858394e964,Tiny Sheep Panel 12A,LN1523,"Human figures, zig-zag line, rakes, bighorn sheep",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-12A.nxs,NXS,Centimeter,,,,Point (37.81880 -115.04938)
e0a0aa8b-b83e-46c5-a181-317aaa7df941,Tiny Sheep Panel 12B,LN1523,"Rake with parallel lines below, wavy line, attached rectangles, faded bighorn sheep and abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-12B.nxs,NXS,Centimeter,,,,Point (37.81880 -115.04938)
75d8a2d5-8bbc-47ff-8e9d-317cff9ae436,"Tiny Sheep Panel 12B, 12C, 12D",LN1523,"Rake with parallel lines below, wavy line, attached rectangles, faded bighorn sheep and abstract designs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-12B-12D.nxs,NXS,Centimeter,,,,Point (37.81882 -115.04932)
681b64c9-8ac8-4ab8-9fe6-2ab5a08cee18,Tiny Sheep Panel 12D,LN1523,"Faded abstract designs, anthropomorph",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-IV-PANEL-12D.nxs,NXS,Centimeter,,,,Point (37.81883 -115.04931)
c04407dc-db15-4536-9945-8748476b093b,"Spider Rock 7, 8, 9, 10, 12A",LN6171,"Scattered abstract designs, including star and concentric arcs",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-V-PANEL-07-08-09-10-12.nxs,NXS,Centimeter,,,,Point (37.81769 -115.04964)
09a084b7-e184-4b12-85dc-60ebc6affa47,"Spider Rock 7, 8, 9, 11, 12A-B",LN6171,"Scattered abstract designs, including star, concentric arcs, and wavy line",https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-V-PANEL-08-09-11-12.nxs,NXS,Centimeter,,,,Point (37.81772 -115.04964)
