ResourceID,Camera FOV,Camera Far,Camera Near,Camera Type,Center Mode,Cloud Storage URL,Coordinates,Description,Documents,Drawings,Explicit Center X,Explicit Center Y,Explicit Center Z,Explicit Radius X,Explicit Radius Y,Explicit Radius Z,File,File Format Type,Keywords,Max Angle X,Max Angle Y,Max Dist,Max Pan X,Max Pan Y,Max Pan Z,Max Phi,Max Theta,Measurement Unit,Min Angle X,Min Angle Y,Min Dist,Min Pan X,Min Pan Y,Min Pan Z,Min Phi,Min Theta,Motifs,Panel Number,Photographs,Radius Mode,Scene Lighting,Site ID,Start Angle X,Start Angle Y,Start Distance,Start Pan X,Start Pan Y,Start Pan Z,Start Phi,Start Theta,Thumbnail Image,Title,Trackball Type
bc774db8-a6b4-477d-88bd-e9b73ff64cfd,,,,,,"{'url': 'https://lcai-assets.s3.us-gov-west-1.amazonaws.com/models/LCAI-WRN-I-PANEL-01.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.04116 37.82103)),"Long upward facing rake - ""calendar""",,,,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,,,,LN4136,,,,,,,,,,Calendar Rock Panel 1,
a0a0a0a0-0000-0100-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P1.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37326649 37.6061853)),"This large complex solid and stipple pecked panel faces south and is affected by exposure, lichen growth and surface spalling. Principal motifs include: rakes; arcs; a bisected circle; a spiral; a tailed circle; open circles; an atlatl design; a stick figure anthropomorph; rectilinear and curvilinear meanders; a triangle; and a plant-like design (a vertical line with connected horizontal lines). Some motifs once clearly extended into an area of the boulder that has now spalled away.",,"[{""resourceId"": ""a0a0a0a0-0000-0100-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc64-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-0100-0003-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc65-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-0100-0006-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc66-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-0100-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc5e-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-0100-0004-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc5f-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-0100-0005-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc60-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-1_Preview-Image.jpg,Petroglyph Rocks - Panel 1,
a0a0a0a0-0000-0700-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P7.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.3732603 37.6062834)),This solid pecked panel faces east and has been made in a natural hollow of patinated rock that is surrounded by a large area of surface spalling. The single motif is a bighorn sheep (approximately 15-x-12 cm).,,"[{""resourceId"": ""a0a0a0a0-0000-0700-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc7c-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-0700-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1f55dc78-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-7_Preview-Image.jpg,Petroglyph Rocks - Panel 7,
a0a0a0a0-0000-1200-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P12.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37325117 37.60636275)),"This large, complex scratched and solid pecked panel faces north and is affected by surface spalling and graffitti. Superimpositioning is evident in many of the motifs. The graffiti takes the form of the scratched letters 'MOLLY / ADAM / I H 4.' Spalling has destroyed part of the panel. The principal motifs include: tailed circles; curvilinear meanders; arcs; a chain of circles; and a boat-shaped bighorn sheep figure.",,"[{""resourceId"": ""a0a0a0a0-0000-1200-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bfd-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bfe-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0005-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bff-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0007-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c00-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0010-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c01-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-1200-0003-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bf5-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0004-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bf6-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0006-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bf7-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0008-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bf8-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1200-0009-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884bf9-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-12_Preview-Image.jpg,Petroglyph Rocks - Panel 12,
a0a0a0a0-0000-1300-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P13.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37330054 37.60634961)),This extensive solid pecked panel faces northeast and is affected by exposure and lichen growth. Some figure modification is discernible on this panel. Motifs include: three rakes; arcs; a tailed circle; five bighorn sheep figures (one partially obscured by lichen); a dumbbell; an asterisk-like design; dots; zigzags; wavy lines; connected open circles; and curvilinear meanders.,,"[{""resourceId"": ""a0a0a0a0-0000-1300-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c1a-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c1b-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0005-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c1c-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0006-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c1d-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0008-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c1e-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0010-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c1f-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0011-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c20-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-1300-0003-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c13-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0004-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c14-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0007-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c15-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1300-0009-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c16-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-13_Preview-Image.jpg,Petroglyph Rocks - Panel 13,
a0a0a0a0-0000-2700-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P27.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37351198 37.60649101)),This stipple pecked panel faces north and incorporates a natural feature. Motifs include three bighorn sheep or deer/elk. This panel is affected by exposure and lichen growth. Some figure modification is discernible on this panel.,,"[{""resourceId"": ""a0a0a0a0-0000-2700-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90c34-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-2700-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90c30-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-27_Preview-Image.jpg,Petroglyph Rocks - Panel 27,
a0a0a0a0-0000-18a0-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P18-Left-of.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37338161 37.60640872)),"This solid and stipple pecked panel faces east and is affected by exposure and surface spalling. Its motifs comprise a stick figure anthropomorph which has lost its left leg from surface spalling, and a line with two open circles.",,"[{""resourceId"": ""a0a0a0a0-0000-1800-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c36-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-1800-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20884c32-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-18-Left-of_Preview-Image.jpg,Petroglyph Rocks - Panel 18 Left of,
a0a0a0a0-0000-18b0-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P18.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37338161 37.60640872)),"This solid and stipple pecked panel faces east and is affected by exposure and surface spalling. Its motifs comprise a stick figure anthropomorph which has lost its left leg from surface spalling, and a line with two open circles.",,"[{""resourceId"": ""a0a0a0a0-0000-1800-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90bd4-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-1800-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90bd0-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-18_Preview-Image.jpg,Petroglyph Rocks - Panel 18,
a0a0a0a0-0000-1900-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P19.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37338161 37.60640872)),"This large solid pecked panel faces east and is affected by exposure and lichen growth. This panel has superimpositioning evident. Its principal motifs include a long wavy line, a row of open circles, rectilinear meanders, a cross pommee, and a rectilinear meander that incorporates three open circles. spalling and vegetation abutment. Its motifs are all rectilinear—a couple of lines, a cross-like figure and an indeterminate design obscured by the effects of surface spalling.",,"[{""resourceId"": ""a0a0a0a0-0000-1900-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90bec-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1900-0003-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90bed-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1900-0004-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90bee-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-1900-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90be6-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1900-0005-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90be7-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}, {""resourceId"": ""a0a0a0a0-0000-1900-0006-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90be8-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-19_Preview-Image.jpg,Petroglyph Rocks - Panel 19,
a0a0a0a0-0000-2200-0000-000000000000,,,,,,"{'url': 'https://lcai-assets.s3.amazonaws.com/models/Paiute-Rocks-P22.nxs', 'url_label': ''}",GEOMETRYCOLLECTION (POINT (-115.37349092 37.6063772)),This solid pecked panel faces northwest and is affected by exposure. Its only motif is an arc.,,"[{""resourceId"": ""a0a0a0a0-0000-2200-0002-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90c04-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,,,,,,NXS,,,,,,,,,,Centimeter,,,,,,,,,,,"[{""resourceId"": ""a0a0a0a0-0000-2200-0001-000000000000"", ""ontologyProperty"": """", ""resourceXresourceId"": ""21b90c00-949c-11f0-bc3b-02553ffbe539"", ""inverseOntologyProperty"": """"}]",,,LN356,,,,,,,,,/files/uploadedfiles/Paiute-Rocks_Panel-22_Preview-Image.jpg,Petroglyph Rocks - Panel 22,
